# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jun  6 17:18:26 2015
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_age:         Stellar Age [Gyr]
#
rowid,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_orbincl,st_dist,st_teff,st_mass,st_rad,hd_name,pl_name,pl_masse,pl_rade,st_age
57,1.50895570,,0.000000,0.38000,85.100,,5950.00,0.9500,1.11,,CoRoT-1 b,327.35000,16.700,
58,13.24060000,0.105500,0.530000,3.70000,88.550,345.00,5075.00,0.8900,0.79,,CoRoT-10 b,874.00000,10.870,3.000
59,2.99433000,0.043600,0.000000,0.99000,83.170,560.00,6440.00,1.2700,1.37,,CoRoT-11 b,740.51000,16.030,2.000
60,2.82804200,0.040160,0.070000,0.41100,85.480,1150.00,5675.00,1.0780,1.12,,CoRoT-12 b,291.43800,16.140,6.300
61,4.03519000,0.051000,0.000000,2.34000,88.020,1060.00,5945.00,1.0900,1.01,,CoRoT-13 b,415.70400,9.920,1.635
62,1.51214000,0.027000,0.000000,7.30000,79.600,1340.00,6035.00,1.1300,1.21,,CoRoT-14 b,2415.40000,12.220,4.200
63,5.35227000,0.061800,0.330000,0.44000,85.010,840.00,5650.00,1.0980,1.19,,CoRoT-16 b,170.03200,13.110,6.730
64,3.76810000,0.046100,0.000000,2.82000,88.340,920.00,5740.00,1.0400,1.59,,CoRoT-17 b,772.29000,11.430,10.700
65,1.90006930,0.029500,0.080000,2.20000,86.500,870.00,5440.00,0.9500,1.00,,CoRoT-18 b,1102.82000,14.680,
66,3.89713000,0.051800,0.047000,0.71000,88.000,770.00,6090.00,1.2100,1.65,,CoRoT-19 b,352.78000,14.460,5.000
67,1.74299350,0.027980,0.014300,1.47000,88.080,200.00,5625.00,0.9600,0.91,,CoRoT-2 b,1102.82000,16.432,2.700
68,9.24285000,0.090200,0.562000,8.87000,88.210,1230.00,5880.00,1.1400,1.02,,CoRoT-20 b,1347.54000,9.420,0.100
69,9.75598000,0.092000,0.077000,0.24900,89.749,592.00,5939.00,1.0990,1.14,,CoRoT-22 b,12.20000,4.880,3.300
70,3.63130000,0.048000,0.160000,3.00000,85.700,600.00,5900.00,1.1400,1.61,,CoRoT-23 b,889.90000,11.770,7.200
71,5.11340000,0.056000,0.000000,0.90000,86.500,600.00,4950.00,0.9100,0.86,,CoRoT-24 b,5.70000,3.700,11.000
72,11.75900000,0.098000,0.000000,1.30000,89.000,600.00,4950.00,0.9100,0.86,,CoRoT-24 c,28.00000,5.000,11.000
73,4.86069000,0.057800,0.000000,0.15000,84.500,1000.00,6040.00,1.0900,1.19,,CoRoT-25 b,85.81000,12.110,4.500
74,4.20474000,0.052600,0.000000,0.28000,86.800,1670.00,5590.00,1.0900,1.79,,CoRoT-26 b,165.26000,14.120,8.600
75,3.57532000,0.047600,0.065000,12.60000,86.700,,5900.00,1.0500,1.08,,CoRoT-27 b,3302.11000,11.287,4.210
76,5.20851000,0.060300,0.047000,0.69000,88.100,560.00,5150.00,1.0100,1.78,,CoRoT-28 b,153.82972,10.705,12.000
77,2.85057000,0.038600,0.082000,1.45000,87.300,765.00,5260.00,0.9700,0.90,,CoRoT-29 b,270.15550,10.088,4.500
78,4.25680000,,0.000000,26.40000,85.900,680.00,6740.00,1.3700,1.56,,CoRoT-3 b,6883.91000,11.320,2.200
79,9.20205000,0.090000,0.000000,0.52500,90.000,,6190.00,1.1600,1.17,,CoRoT-4 b,228.83000,13.340,1.000
80,4.03789620,0.049470,0.090000,0.21700,85.830,,6100.00,1.0000,1.19,,CoRoT-5 b,148.42000,15.558,6.900
81,8.88659300,0.085500,0.100000,2.32000,89.070,,6090.00,1.0500,1.02,,CoRoT-6 b,940.74000,13.068,
82,0.85359159,0.017016,0.000000,7.50000,80.780,153.70,5259.00,0.9130,0.82,,CoRoT-7 b,5.74000,1.585,1.320
83,3.69800000,0.046000,0.000000,,,153.70,5259.00,0.9130,0.82,,CoRoT-7 c,8.40000,,1.320
84,6.21229000,0.063000,0.000000,1.60000,88.400,380.00,5080.00,0.8800,0.77,,CoRoT-8 b,69.92000,6.390,3.000
85,95.27380000,0.407000,0.110000,0.90000,89.990,460.00,5625.00,0.9900,0.94,,CoRoT-9 b,266.97000,11.770,
86,246.36000000,0.360000,0.345000,,56.600,20.77,,0.0750,,,DENIS-P J082303.1-491201 b,9057.77000,,1.000
87,,330.000000,,,,140.00,,0.3300,0.27,,DH Tau b,3496.00000,,0.001
88,10220.00000000,8.190000,0.390000,,,,,0.6900,,,DP Leo b,,,
89,,800.000000,,,,,,,,,FU Tau b,4993.10700,,
90,318280.00000000,115.000000,0.130000,,,7.69,,2.0000,,HD 216956,Fomalhaut b,826.30000,13.500,0.200
91,1.58040482,,,3.03000,90.000,,3170.00,0.1560,0.18,,GJ 1214 b,6.43000,2.270,
92,11.44330000,0.071700,0.000000,,,3.57,3567.00,0.3750,0.39,HD 1326 A,GJ 15 A b,,,
93,8.63100000,0.061000,0.110000,,,14.97,3500.00,0.4000,,,GJ 163 b,,,6.000
94,25.60000000,0.130000,0.080000,,,14.97,3500.00,0.4000,,,GJ 163 c,,,6.000
95,603.00000000,1.000000,0.410000,,,14.97,3500.00,0.4000,,,GJ 163 d,,,6.000
96,2288.00000000,2.410000,0.210000,,,12.12,3370.00,0.3570,0.38,,GJ 179 b,,,
97,133.71000000,0.490000,0.511000,,,17.62,5540.00,0.9000,0.90,HD 1237,GJ 3021 b,,,
98,692.00000000,1.150000,0.110000,,45.000,15.10,3510.00,0.4200,,,GJ 317 b,794.50000,,5.000
99,4100.00000000,4.500000,0.370000,,,20.03,3900.00,0.6900,,,GJ 328 b,,,
100,30.60000000,0.143400,0.070000,,,,3466.00,0.4200,0.40,,GJ 3293 b,,,
101,123.75000000,0.364000,0.330000,,,,3466.00,0.4200,0.40,,GJ 3293 c,,,
102,14.20700000,0.089000,0.310000,,,,3526.00,0.4700,0.44,,GJ 3341 b,,,
103,3.33664870,0.031000,0.017000,1.18000,88.880,25.20,3652.00,0.5100,0.48,,GJ 3470 b,13.73000,3.880,2.500
104,2.64561000,0.028700,0.080000,,59.000,19.80,,0.4500,0.43,,GJ 3634 b,8.40000,,5.000
105,7.37090000,0.058000,0.080000,,,9.04,3600.00,0.4800,,,GJ 433 b,,,
106,2.64388312,0.029100,0.138270,1.80000,86.440,10.23,,0.4700,0.46,,GJ 436 b,22.10000,4.170,
107,,43.500000,,,,17.95,6234.00,1.2200,,HD 115383,GJ 504 b,1271.30000,,0.160
108,5.36860000,0.040610,0.000000,,,6.27,,0.3100,0.29,,GJ 581 b,,,2.000
109,12.91400000,0.072100,0.000000,,,6.27,,0.3100,0.29,,GJ 581 c,,,2.000
110,3.14900000,0.028150,0.000000,,,6.27,,0.3100,0.29,,GJ 581 e,,,2.000
111,598.30000000,1.135000,0.300000,,,10.32,3700.00,0.5400,,,GJ 649 b,,,
112,7.20040000,0.050500,0.130000,,,6.80,3350.00,0.3300,,,GJ 667 C b,,,2.000
113,28.14000000,0.125000,0.020000,,,6.80,3350.00,0.3300,,,GJ 667 C c,,,2.000
114,62.24000000,0.213000,0.020000,,,6.80,3350.00,0.3300,,,GJ 667 C e,,,2.000
115,39.02600000,0.156000,0.030000,,,6.80,3350.00,0.3300,,,GJ 667 C f,,,2.000
116,256.20000000,0.549000,0.080000,,,6.80,3350.00,0.3300,,,GJ 667 C g,,,2.000
117,4.69380000,0.039000,0.200000,,,4.54,3600.00,0.3500,,,GJ 674 b,,,0.550
118,1050.30000000,1.800000,0.328000,,,16.13,,0.7100,,,GJ 676 A b,,,
119,3.60000000,0.041300,0.150000,,,16.13,,0.7100,,,GJ 676 A d,,,
120,35.37000000,0.187000,0.240000,,,16.13,,0.7100,,,GJ 676 A e,,,
121,38.14000000,0.163530,0.040000,,,4.53,3413.00,0.4130,0.42,,GJ 687 b,,,
122,3657.00000000,3.560000,0.080000,,,4.94,3472.00,0.4500,,HD 204961,GJ 832 b,,,
123,35.68000000,0.163000,0.180000,,,4.94,3472.00,0.4500,,HD 204961,GJ 832 c,,,
124,1845.00000000,2.320000,0.050000,,,8.77,,0.4900,,,GJ 849 b,,,3.000
125,15.76491000,0.113000,0.041600,,,10.91,5151.00,0.7700,,HD 13445,GJ 86 b,,,
126,61.11660000,0.208317,0.032400,,59.000,4.70,,0.3340,,,GJ 876 b,723.22350,,2.550
127,30.08810000,0.129590,0.255910,,59.000,4.70,,0.3340,,,GJ 876 c,226.98460,,2.550
128,1.93778000,0.020807,0.207000,,59.000,4.70,,0.3340,,,GJ 876 d,6.83000,,2.550
129,124.26000000,0.334300,0.055000,,59.000,4.70,,0.3340,,,GJ 876 e,14.60000,,2.550
130,,100.000000,,,,139.00,,0.7000,,,GQ Lup b,6356.00000,33.600,0.001
131,,320.000000,,,,145.00,4200.00,0.9000,,,GSC 06214-00210 b,5000.00000,,0.005
132,,2000.000000,,,,48.00,,0.3250,,,GU Psc b,3591.30000,14.179,0.100
133,4.46529340,,0.000000,0.34500,86.280,139.00,5975.00,1.1200,1.15,,HAT-P-1 b,166.53600,13.731,3.600
134,4.88781620,0.053000,0.198000,1.33000,88.500,38.00,4780.00,0.8100,0.75,,HAT-P-11 b,25.74300,4.730,6.500
135,3.21305980,0.038400,0.000000,0.31920,89.000,142.50,4650.00,0.7330,0.70,,HAT-P-12 b,67.05900,10.749,2.500
136,2.91625000,,0.013300,,83.400,214.00,5653.00,1.2200,1.56,,HAT-P-13 b,270.46200,14.258,5.000
137,446.27000000,,0.661600,,,214.00,5653.00,1.2200,1.56,,HAT-P-13 c,,,5.000
138,4.62766900,0.060600,0.107000,1.82000,83.500,205.00,6600.00,1.3860,1.47,,HAT-P-14 b,709.36700,12.890,1.300
139,10.86350200,0.096400,0.190000,1.96000,89.100,190.00,5568.00,1.0130,1.08,,HAT-P-15 b,618.47100,12.016,6.800
140,2.77596000,0.041300,0.036000,2.42000,86.600,235.00,6140.00,1.2160,1.16,,HAT-P-16 b,1332.60500,14.448,0.500
141,10.33852300,0.088200,0.342000,0.64000,89.200,90.00,5246.00,0.8570,0.84,,HAT-P-17 b,169.71000,11.321,7.800
142,5584.00000000,5.600000,0.390000,,,90.00,5246.00,0.8570,0.84,,HAT-P-17 c,,,7.800
143,5.50802300,0.055900,0.084000,0.25000,88.800,166.00,4803.00,0.7700,0.75,,HAT-P-18 b,62.61000,11.153,12.400
144,4.00877800,0.046600,0.067000,0.25000,88.200,215.00,4990.00,0.8420,0.82,,HAT-P-19 b,92.80200,12.689,8.800
145,5.63347290,0.068780,0.517100,7.29000,86.720,135.32,6290.00,1.3600,1.64,HD 147506,HAT-P-2 b,2888.95000,12.969,2.600
146,2.87531700,0.036100,0.015000,13.78000,86.800,70.00,4595.00,0.7560,0.69,,HAT-P-20 b,2302.89900,9.718,6.700
147,4.12448100,0.049400,0.228000,4.68000,87.200,254.00,5588.00,0.9470,1.10,,HAT-P-21 b,1291.28900,11.478,10.200
148,3.21222000,0.041400,0.016000,2.11000,86.900,82.00,5302.00,0.9160,1.04,HD 233731,HAT-P-22 b,682.35200,12.106,12.400
149,1.21288287,0.023020,0.000000,1.40600,85.740,393.00,5885.00,1.1040,1.09,,HAT-P-23 b,658.00000,13.720,2.100
150,3.35524000,0.046500,0.067000,0.44000,88.600,396.00,6373.00,1.1910,1.32,,HAT-P-24 b,217.70400,13.922,2.800
151,3.65283600,0.046600,0.032000,0.42000,87.600,297.00,5500.00,1.0100,0.96,,HAT-P-25 b,180.20200,13.339,3.200
152,4.23451600,0.047900,0.124000,0.40000,88.600,134.00,5079.00,0.8160,0.79,,HAT-P-26 b,18.75100,6.333,9.000
153,3.03957700,0.040000,0.000000,,85.000,204.00,5300.00,0.9450,0.90,,HAT-P-27 b,197.05000,11.430,4.400
154,3.25721500,0.043400,0.051000,0.44000,88.000,395.00,5680.00,1.0250,1.10,,HAT-P-28 b,198.95300,13.585,6.100
155,5.72318600,0.066700,0.095000,0.71000,87.100,322.00,6087.00,1.2070,1.22,,HAT-P-29 b,247.26100,12.408,2.200
156,2.89973600,0.038660,0.000000,1.29000,87.070,138.00,5185.00,0.9170,0.80,,HAT-P-3 b,187.83000,9.270,1.600
157,2.81059500,0.041900,0.035000,0.37000,83.600,193.00,6304.00,1.2420,1.22,,HAT-P-30 b,225.96800,15.020,1.000
158,5.00542500,0.055000,0.245000,2.18000,87.100,354.00,6065.00,1.2180,1.36,,HAT-P-31 b,689.98000,11.990,
159,2.15000805,0.034300,0.007200,,88.900,283.00,6269.00,,1.22,,HAT-P-32 b,,20.053,
160,3.47447400,0.049900,0.000000,0.20000,87.200,387.00,6446.00,1.3750,1.64,,HAT-P-33 b,242.17600,18.898,
161,5.45265400,0.067700,0.441000,2.40000,87.100,257.00,6442.00,1.3920,1.53,HD 351766,HAT-P-34 b,1057.69400,13.417,
162,3.64670600,0.049800,0.025000,0.55000,87.300,535.00,6096.00,1.2360,1.44,,HAT-P-35 b,334.97900,14.930,
163,1.32734700,0.023800,0.063000,1.12000,86.000,317.00,5560.00,1.0220,1.10,,HAT-P-36 b,582.24000,14.168,
164,2.79743600,0.037900,0.058000,0.89000,86.900,411.00,5500.00,0.9290,0.88,,HAT-P-37 b,371.52800,13.204,
165,4.64038200,0.052300,0.067000,0.59000,88.300,249.00,5330.00,0.8860,0.92,,HAT-P-38 b,84.85700,9.247,
166,3.54387000,0.050900,0.000000,0.19000,87.000,642.00,6430.00,1.4040,1.62,,HAT-P-39 b,190.37200,17.609,
167,3.05653600,0.044380,0.000000,0.40300,89.910,314.00,5860.00,1.2600,1.60,,HAT-P-4 b,213.25500,14.280,
168,4.45724300,0.060800,0.000000,0.15000,88.300,501.00,6080.00,1.5120,2.21,,HAT-P-40 b,195.45700,19.392,
169,2.69404700,0.042600,0.000000,0.20000,87.700,344.00,6390.00,1.4180,1.68,,HAT-P-41 b,254.25300,18.887,
170,4.64187800,0.057500,0.000000,0.61000,85.900,447.00,5743.00,1.1780,1.53,,HAT-P-42 b,331.80100,14.348,5.200
171,3.33268700,0.044300,0.000000,0.39000,88.700,542.00,5645.00,1.0480,1.10,,HAT-P-43 b,210.39500,14.359,5.700
172,4.30121900,0.050700,0.044000,0.23000,89.100,363.00,5295.00,0.9420,0.95,,HAT-P-44 b,111.87100,13.922,7.500
173,872.20000000,1.752000,0.494000,,,363.00,5295.00,0.9420,0.95,,HAT-P-44 c,,,7.500
174,3.12899200,0.045200,0.049000,0.38000,87.800,305.00,6330.00,1.2590,1.32,,HAT-P-45 b,283.49200,15.984,2.000
175,4.46312900,0.057700,0.123000,0.28000,85.500,296.00,6120.00,1.2840,1.40,,HAT-P-46 b,156.68400,14.392,2.500
176,2.69154800,0.043800,0.000000,0.75000,86.200,322.00,6820.00,1.5430,1.83,HD 340099,HAT-P-49 b,549.82300,15.838,1.500
177,2.78849100,0.040750,0.000000,0.66000,86.750,342.00,5960.00,1.1630,1.14,,HAT-P-5 b,336.89000,14.120,
178,3.79984700,0.041170,0.074000,1.11800,87.040,135.80,4390.00,0.6450,0.62,,HAT-P-54 b,241.55080,10.581,3.900
179,3.85298500,0.052350,0.000000,0.55800,85.510,261.00,6570.00,1.2900,1.46,,HAT-P-6 b,335.93200,14.908,
180,2.20473700,0.037700,0.000000,,83.111,320.00,6350.00,1.4700,1.84,,HAT-P-7 b,564.44200,15.043,
181,3.07637760,0.048700,0.000000,0.56800,87.500,230.00,6200.00,1.2800,1.58,,HAT-P-8 b,483.08000,16.810,
182,3.92289000,0.053000,0.000000,0.35000,86.500,480.00,6350.00,1.2800,1.32,,HAT-P-9 b,247.90000,15.690,
183,3.44645900,0.044400,0.120000,1.03000,85.600,303.00,5870.00,0.9860,1.04,,HATS-1 b,589.55000,14.594,
184,3.31284600,0.044910,0.501000,0.70000,87.790,496.00,5880.00,1.1010,1.10,,HATS-10 b,167.17858,10.862,3.300
185,1.35413300,0.023000,0.000000,1.05000,87.200,360.00,5227.00,0.8820,0.90,,HATS-2 b,427.46300,13.092,9.700
186,3.54785100,0.048500,0.000000,0.51000,86.200,453.00,6351.00,1.2090,1.40,,HATS-3 b,340.38200,15.480,3.200
187,2.51672900,0.036200,0.013000,1.55000,88.500,420.00,5403.00,1.0010,0.93,,HATS-4 b,420.47100,11.433,2.100
188,4.76338700,0.054200,0.019000,0.39000,89.300,257.00,5304.00,0.9360,0.87,,HATS-5 b,75.32300,10.223,3.600
189,3.32527250,0.036230,0.000000,0.39900,88.210,148.40,3724.00,0.5740,0.57,,HATS-6 b,101.38777,11.187,8.100
190,1.91530730,0.030480,0.129000,0.85000,86.500,622.00,5366.00,1.0300,1.50,,HATS-9 b,266.02371,11.938,10.800
191,,53.000000,,,,97.00,10500.00,2.4000,,HD 100546,HD 100546 b,,77.342,0.005
192,157.57000000,0.760000,0.085000,,,140.85,,,,HD 100655,HD 100655 b,,,
193,383.70000000,1.030000,0.360000,,,52.80,,,,HD 100777,HD 100777 b,,,
194,5.75962000,0.064100,0.077000,,90.000,39.39,,,,HD 10180,HD 10180 c,,,
195,16.35670000,0.128500,0.143000,,90.000,39.39,,,,HD 10180,HD 10180 d,,,
196,49.74700000,0.269900,0.065000,,90.000,39.39,,,,HD 10180,HD 10180 e,,,
197,122.72000000,0.492800,0.133000,,90.000,39.39,,,,HD 10180,HD 10180 f,,,
198,602.00000000,1.423000,0.000000,,90.000,39.39,,,,HD 10180,HD 10180 g,,,
199,2248.00000000,3.420000,0.151000,,90.000,39.39,,,,HD 10180,HD 10180 h,,,
200,70.46000000,0.302000,0.110000,,,30.50,,,,HD 101930,HD 101930 b,,,
201,20.81330000,0.153200,0.121000,,,42.00,,,,HD 102117,HD 102117 b,,,
202,4.11377500,,0.000000,,,28.98,,,,HD 102195,HD 102195 b,,,
203,127.58000000,0.614000,0.050000,,,164.20,,,,HD 102272,HD 102272 b,,,
204,778.10000000,2.030000,0.211000,,,138.50,,,,HD 102329,HD 102329 b,,,
205,122.10000000,0.460000,0.340000,,,9.24,,,,HD 102365,HD 102365 b,,,
206,6.49500000,0.081000,0.048000,,,121.07,,,,HD 102956,HD 102956 b,,,
207,47.84000000,0.249000,0.000000,,,49.33,,,,HD 103197,HD 103197 b,,,
208,4.55570000,0.049800,0.086000,,,41.60,5017.00,0.7940,0.73,HD 103720,HD 103720 b,,,3.800
209,5.88810000,0.070000,0.090000,,,53.08,6489.00,1.3350,,HD 103774,HD 103774 b,,,1.050
210,55.80600000,0.264300,0.000000,,,20.82,,,,HD 104067,HD 104067 b,,,
211,1043.00000000,2.335000,0.110000,,,,5034.00,1.5600,,HD 10442,HD 10442 b,,,
212,199.50500000,0.950000,0.090000,,,102.04,,,,HD 104985,HD 104985 b,,,
213,1531.00000000,2.611000,0.482000,,,37.44,,,,HD 106252,HD 106252 b,,,
214,2890.00000000,4.300000,0.402000,,,87.87,,,,HD 106270,HD 106270 b,,,
215,989.20000000,2.015000,0.150000,,,17.35,6218.00,1.1100,1.10,HD 10647,HD 10647 b,,,1.400
216,3630.00000000,4.590000,0.572000,,,36.36,5362.00,0.9700,1.62,HD 106515 A,HD 106515 A b,,,11.700
217,,650.000000,,,,91.83,6516.00,1.5000,,HD 106906,HD 106906 b,3496.00000,,0.013
218,1075.20000000,2.131000,0.099000,,,32.56,,,,HD 10697,HD 10697 b,,,
219,48.05600000,0.269000,0.050000,,,51.26,,,,HD 107148,HD 107148 b,,,
220,10.89850000,0.102000,0.530000,,,38.56,,,,HD 108147,HD 108147 b,,,
221,1129.00000000,2.000000,0.850000,,,49.40,5122.00,0.8430,0.79,HD 108341,HD 108341 b,,,4.900
222,443.40000000,1.400000,0.060000,,,138.50,,,,HD 108863,HD 108863 b,,,
223,395.80000000,1.038000,0.082000,,,68.54,,,,HD 108874,HD 108874 b,,,
224,1624.00000000,2.659000,0.239000,,,68.54,,,,HD 108874,HD 108874 c,,,
225,68.27000000,0.330000,0.120000,,,65.62,,,,HD 109246,HD 109246 b,,,
226,7.85430000,0.079000,0.250000,,,56.92,5783.00,1.0470,,HD 109271,HD 109271 b,,,7.300
